year,0deg,1deg,2deg,3deg,4deg
2000,85189.5258752,72539.4736263,50945.5685424,36717.0941842,30600.3084671
2001,89168.3954347,77465.7235528,52615.3949514,37374.0249584,29983.7660374
2002,93686.5332858,82066.7746291,54807.485281,38560.1876886,29381.4849477
2003,98681.0931975,83039.6683359,56041.2133141,40028.6080541,28799.6511219
2004,104036.590676,83707.386209,56806.5823567,41153.0964865,28242.8402833
2005,109591.289497,85273.0176522,59182.2991378,41199.2555095,27733.1357071
2006,114976.396411,87560.5156975,63123.5379407,41272.2733554,27292.6732541
2007,120002.946318,90153.176017,63485.9091389,42034.917259,26930.4460986
2008,124682.881684,92839.6920532,62410.6680956,43788.0431704,26635.173103
2009,129207.012615,95441.6669661,62050.9190016,43165.2540444,26379.1455442
2010,133863.414433,97932.2442395,62558.2309063,41577.6662778,26130.0194354
2011,138902.989802,100364.077116,63659.5953203,40687.846031,25862.0704616
2012,144357.391364,102850.999841,65084.1812467,40690.5610525,25571.9117592
2013,150170.734916,105546.23448,66661.3518947,41378.172165,25278.28074
2014,156274.47757,108669.372542,68268.2118887,42426.8425,25002.4201057
2015,162671.627605,112460.626943,69716.3548789,43580.441089,24752.4830748
2016,169448.808716,117036.368291,70951.4931242,44662.0304472,24517.3873947
2017,176721.031482,122155.727071,72014.80253,45582.3216939,24278.1370339
2018,184508.896891,126956.744423,73015.8719228,46343.7499087,24023.6176382
2019,192701.831747,129244.318861,74113.7931201,47023.7828486,23754.312058
2020,201154.796464,130517.133571,75472.5764847,47708.4984984,23475.9864069
2021,209429.922112,135704.606992,77266.5799077,48472.104161,23196.8730617
2022,217090.899497,145223.22601,79624.9860481,49378.3215379,22924.9102589
2023,224042.258499,148886.015925,82416.3986354,50472.5668742,22666.1627684
2024,230562.90045,147314.834457,85256.3036601,51768.5284835,22425.096849
2025,237224.844751,146350.210773,86845.2117557,53278.8382442,22203.2408395
2026,244678.566143,147038.66616,86596.0391508,54928.345725,22000.5606005
2027,253199.204543,148791.131285,87819.9294711,56276.6563769,21814.6774437
2028,262638.81296,150883.343891,92403.1182473,56428.1161433,21637.6833557
2029,272644.86857,153340.468151,96100.5136571,56914.3186908,21468.0477999
2030,282852.168306,156228.575674,95312.2388441,58891.7879328,21312.974175
2031,293077.725651,159575.002031,93904.5397793,60927.9601911,21162.961228
2032,303451.26095,163300.744266,93327.9508809,60253.4007517,20988.4362191
2033,314363.951185,167213.636742,93586.2523533,59088.8847407,20764.4008299
2034,326115.282436,171208.551244,94407.9288359,58678.4311971,20491.8942723
2035,338674.829379,175295.259013,95629.6641972,59165.322981,20224.3280294
2036,351771.238393,179611.901415,97199.4973546,60308.8363262,20014.7589498
2037,365043.944394,184346.366052,99089.431992,61743.5961223,19855.9850425
2038,377525.438643,189487.55256,101121.767378,63157.4077069,19713.0847301
2039,388691.384998,194580.093198,103067.655909,64367.0241824,19549.0535588
2040,398686.636773,198174.605555,104776.045529,65315.871259,19354.5359843
2041,408304.42732,198103.367411,106202.79387,65997.8584484,19144.0079701
2042,418724.642132,200348.086402,107432.451763,66469.7328594,18935.2922457
2043,430941.16212,209862.590667,108682.395254,66835.130285,18740.851748
2044,445131.465763,218887.763495,110240.306157,67199.8807909,18566.399643
2045,460806.661052,221682.460489,112325.053595,67661.8451258,18442.4599405
2046,477143.89973,223051.070763,114962.058339,68294.0319728,18355.8268591
2047,493390.295022,225436.544459,117798.217671,69142.6643818,18296.6778921
2048,509351.029646,228842.944415,119416.346578,70200.2561709,18259.1520672
2049,525476.214561,232543.204085,119403.016774,71426.4122361,18232.3963788
2050,542613.071028,235866.238157,122662.317052,72815.3998076,18218.8247324
2051,561244.60342,238324.865585,128704.833095,73790.6480719,18227.1718966
2052,581170.2249,240128.474195,131427.263941,73262.1547092,18261.6396734
2053,601843.356646,241720.589404,131206.760031,73432.6505523,18346.4435192
2054,622299.208745,243634.301621,130961.731348,75830.8642914,18464.5154139
2055,640757.130656,246293.879782,131330.323839,77321.8208524,18499.4884875
2056,656527.435626,250168.402064,132130.011669,76620.6145265,18440.5012744
2057,670195.589403,255751.758559,133103.192009,75802.954439,18506.7244514
2058,683460.620367,263432.584734,134208.340773,75594.8772788,18550.5230781
2059,698608.6106,273218.549619,135419.956108,75903.2304376,18485.0461243
2060,717127.203152,284353.754518,136747.819596,76409.4495246,18419.7390963
2061,739133.42526,294965.959124,138189.592867,76955.0336358,18420.7391024
2062,763583.474539,302351.24742,139720.08229,77487.7565219,18468.2389655
2063,788882.96231,303188.982639,141338.169419,77937.4721834,18522.7891766
2064,813781.267576,302956.985843,143092.885206,78289.0734183,18564.3437526
2065,838121.535479,310394.925728,145078.255484,78574.5558995,18592.1262729
2066,862859.998613,319516.570928,147424.988795,78799.2703168,18622.7648899
2067,889384.671808,324321.098694,150265.382469,78991.221852,18678.1684652
2068,918447.100879,328169.399535,153648.983063,79252.3323514,18767.8126569
2069,949639.263341,334291.716343,157405.469607,79684.3820471,18893.8741595
2070,981948.818115,342769.129024,161063.003985,80373.9830912,19054.0412886
2071,1013436.60445,352078.44867,163819.257798,81385.9673209,19250.1414594
2072,1040893.68912,359749.99646,164144.358784,82735.8950716,19483.6593921
2073,1063251.26132,364090.815493,164146.778349,84355.1217814,19754.9277389
2074,1081798.64607,365071.785986,168051.377183,86226.3509311,20063.2171314
2075,1099783.79354,363698.101389,172653.647558,88269.2908247,20406.7337839
2076,1121346.58323,361769.9104,175233.329399,89514.7946121,20791.4088225
2077,1148784.48811,360716.012071,177374.666346,88735.0231394,21191.9112198
2078,1182155.79263,361939.509884,180368.67397,89104.1814725,21614.9907494
2079,1219531.78495,366698.495253,184085.638309,92197.3302884,22066.7593672
2080,1257978.01396,375925.428448,187762.991161,94126.0693237,22198.1870508
2081,1295420.97299,389684.828892,190070.592646,93705.25978,22207.5862903
2082,1331542.08784,407148.479918,190533.347052,93172.8403919,22842.3693713
2083,1367334.90389,426272.525248,189389.059616,93252.8249632,23632.6654912
2084,1405388.75812,442829.8185,187419.604848,93797.0939551,23753.5319793
2085,1447073.17228,452093.883728,185486.903611,94523.863126,23582.3571641
2086,1492032.04655,452026.311361,184226.221965,95297.3301696,23578.9762991
2087,1538859.56774,452012.5844,184256.025555,95947.3894082,23801.6983515
2088,1585310.32355,456854.213632,186050.520399,96414.2866366,24191.0243131
2089,1626091.96369,461517.50879,189632.641248,96686.6327314,24676.3348786
2090,1658984.88804,465791.564267,194829.43299,96824.5558717,25200.8479071
2091,1685863.94057,473385.235057,201263.382496,96909.1606012,25728.7809316
2092,1711790.41881,485776.056726,208319.330942,97053.065108,26182.5603251
2093,1743392.84415,501204.712064,214822.290766,97376.3605289,26466.7076045
2094,1784609.48988,517101.281631,219879.138093,98000.7523713,26552.2063433
2095,1835378.05485,528796.305177,222320.805176,99009.6883012,26483.6581006
2096,1892341.02775,533768.084572,220731.997173,100433.823456,26321.8880872
2097,1950473.74787,531973.774477,215517.61662,102231.228861,26117.0761935
2098,2006520.78962,525624.088143,214761.570667,104284.996683,25930.1705866
2099,2058278.42843,518335.320566,220218.449668,106380.76073,25805.9412582
2100,2108247.3516,512707.621014,224692.113805,108588.271224,25790.9547287
2101,2162620.19149,511225.450845,227254.018626,110489.677398,25917.635796
2102,2224890.47729,516261.844489,230732.320541,110816.390335,26192.2723399
2103,2294242.26001,529235.92135,235882.824454,109954.168291,26591.1445488
2104,2368003.90344,549856.599656,241730.770264,111061.533147,27051.9104462
2105,2442006.96334,576289.887922,246205.143934,113117.381694,27577.0896809
2106,2506886.8691,605373.501315,247883.133945,114077.198027,28118.5123278
2107,2557982.56048,630524.794645,246763.57571,114755.621419,28255.10883
2108,2596699.28759,645219.912718,243563.80479,116091.599432,28251.6711275
2109,2630024.75663,646491.773968,239748.286865,118025.437273,28798.712231
2110,2668886.84705,643017.779624,236380.093143,120033.579234,29311.2813379
2111,2720989.05136,641546.421948,234452.520216,121375.889173,29229.9720751
2112,2788517.39123,641780.804016,234690.706117,121645.032207,28997.4318369
2113,2867280.35731,645641.310038,237399.329821,121037.403977,28892.3215895
2114,2949427.53197,656442.829391,242491.566011,119973.393258,28933.9600581
2115,3029256.6146,674822.55641,249417.780905,118928.433055,29044.6962023
2116,3104460.85553,697923.445522,257564.519973,118131.673228,29159.5221543
2117,3181327.63018,722393.735249,265899.364902,117798.678429,29216.5017608
2118,3268304.53156,741374.170429,272652.329457,118114.979358,29204.080908
2119,3369123.17661,749961.098895,277034.685169,119137.16509,29170.2675413
2120,3480455.73791,747248.505617,278969.719284,120801.981597,29141.8780037
2121,3596438.3572,736065.890048,277534.623031,122964.087315,29107.5666806
2122,3701459.71802,722333.796017,271825.319946,125463.748958,29077.559959
2123,3782511.06838,710375.47235,268288.444664,127990.436191,29083.6260128
2124,3837886.93121,703949.224774,273522.200497,130197.377914,29149.6354083
2125,3874852.30027,706843.145278,280548.644758,131688.051592,29294.9576046
2126,3909997.48145,721968.046269,285156.837485,132319.265643,29528.8837452
2127,3962766.5843,748559.990094,289905.048818,132729.534252,29848.752586
2128,4043482.54903,783904.603217,296248.400159,133138.246617,30240.6783858
2129,4152853.74308,824283.270435,303397.801148,132656.874313,30685.3582398
2130,4280203.8602,861383.696677,309100.645427,132799.460704,31148.9154509
